纯电动汽车销售量w,时间,新能源汽车销量w,纯电动汽车补贴政策w,混合动力补贴w,双积分平均车分,企业平均油耗要求,新能源汽车比例要求,排放物限制,电动车占比,居民收入,消费支出,人均交通和通信消费支出,充电桩,最低续航里程,电池能源密度,原油依存度,汽车总销量,动力电池价格,疫情
1.44,2013,1.8,4.8,3.5,3,0,1,0.08,0.000818774,1.83,1.32,0.1627,0.878843295,80,20.67469626,0.45026178,2198.41,2,0
6,2014,7.5,4.6,3.3,3,0,1,0.08,0.00319259,2.02,1.45,0.1869,2.257718121,80,29.86345016,0.314935065,2349.19,2,0
26.48,2015,33.1,4.4,3.2,3,0,1,0.08,0.013455285,2.2,1.57,0.2087,5.8,80,43.13609467,0.360119048,2460,2.25,0
40.56,2016,50.7,4.2,3,3,0,1,0.08,0.018089054,2.38,1.71,0.2338,14.9,100,62.30769231,0.475065617,2802.8,2.14,0
62.16,2017,77.7,3.3,2.4,3,0,1,0.07,0.026905457,2.6,1.83,0.2499,24,100,90,0.542857143,2887.89,1.37,0
100.48,2018,125.6,3.4,2.2,3,0,1,0.055,0.044727752,2.82,1.99,0.2675,38.7,150,130,0.590909091,2808.1,1.24,0
96.48,2019,120.6,2.2,1,3.5,0.1,1.1,0.055,0.046800419,3.07,2.16,0.2862,51.6,250,160,0.622529644,2576.9,0.96,0
111.5,2020,136.7,1.9,0.9,2.35,0.12,1,0.045,0.054008139,3.2189,2.344522613,0.306207252,80,300,160,0.638888889,2531.1,0.87,1
223.8,2021,269.85,1.5,0.68,2.35,0.14,1.23,0.045,0.108661512,3.375021893,2.544808464,0.327613142,95,300,160,1,2483.4,1,0.2
,2022,,1.2,0.68,2.35,0.16,1.2,0.045,0.14,3.538715951,2.762204162,0.350515444,108.2066277,350,160.0000002,1.328583315,2486.187661,0.999872965,0.1
,2023,,0.35,0.243587942,2.35,0.18,1.15,0.03,0.16,3.710349438,2.998171352,0.375018767,119.834341,400,190.0000002,1.627568847,2486.008758,0.999873089,0.05
,2024,,0.1,0.12,2.35,0.18,1.15,0.03,0.18,3.890307429,3.254296543,0.401235032,130.0719067,450,220.0000002,1.899622675,2486.020239,0.999873089,0.05
,2025,,0,0.06,2.35,0.18,1.15,0.03,0.2,4.078993675,3.532301775,0.429283986,139.0855234,500,250.0000002,2.147170724,2486.019502,0.999873089,0
,2026,,0,0,2.35,0.18,1.15,0.03,0.23,4.276831512,3.834056198,0.459293745,147.02152,550,280.0000002,2.3724204,2486.019549,0.999873089,0
,2027,,0,0,2.35,0.18,1.15,0.03,0.26,4.484264805,4.161588637,0.491401382,154.0087309,600,310.0000002,2.577380273,2486.019546,0.999873089,0
,2028,,0,0,2.35,0.18,1.15,0.03,0.29,4.701758952,4.517101235,0.525753554,160.1605879,650,340.0000002,2.763877986,2486.019547,0.999873089,0
,2029,,0,0,2.35,0.18,1.15,0.03,0.32,4.929801919,4.902984255,0.562507167,165.5769616,700,370.0000002,2.933576554,2486.019547,0.999873089,0
,2030,,0,0,2.35,0.18,1.15,0.03,0.35,5.168905341,5.321832156,0.601830098,170.3457825,750,400.0000002,3.087989192,2486.019547,0.999873089,0
