,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,10,10,10,5,5,10,5,5,5,5,5,5,5,5.244003018,5,9.177631579,5,10,5,5,5,10
1,9.791666667,9.714285714,9.705882353,5,5,10,5.033991175,5.284524388,5.162425603,5.275544766,5.040682709,5,5.121119707,5,6.093432732,9.177631579,5,9.695151109,5.001821127,5.277805058,5.260894188,5.584766331
2,9.583333333,9.571428571,9.411764706,5,5,10,5.18094488,5.554073809,5.312356928,5.523762778,5.145195185,5,5.296070394,5.08146971,6.89700934,10,5,9.695151106,5.003810878,5.33183273,5.326867431,5
3,9.375,9.285714286,9.117647059,5,5,10,5.247296801,5.82362323,5.487276808,5.809555076,5.413684131,5.149253731,5.548776942,5.288725976,9.382940767,9.638157895,5,9.695151106,5.008734667,5.586908283,5.59675797,5.483967967
4,8.4375,8.428571429,8.823529412,5,5,9.333333333,5.373540744,6.153072521,5.637208134,5.992872049,5.682173078,5.149253731,5.913797511,5.410958581,10,7.105263158,5,6.774020002,5.013523557,5.942462678,6.006091954,5.686227854
5,8.541666667,8.142857143,8.529411765,5,5,8.333333333,5.628741964,6.482521813,5.837116568,6.193268242,6.115885992,5.52238806,6.441049445,5.497599422,9.421375529,6.677631579,5,6.779390636,5.015176062,6.463527554,6.283719355,5.993376161
6,7.291666667,6.428571429,8.235294118,6.5625,6,8.333333333,5.658420923,6.856896008,6.049519279,6.406189197,6.496491202,6.268656716,6.836488395,5.55461337,7.744749666,5.756578947,5,5.928358249,5.031262687,6.763160152,6.572451852,5.461781098
7,6.979166667,6.285714286,7.941176471,6.875,7,7.666666667,5.761629793,7.079873279,6.280066946,6.633994717,7.33441275,6.641791045,6.836488395,5.584110171,7.412615304,5.460526316,10,6.590042577,5.047012067,7.030773011,6.872733649,5.374311921
8,5.25,4.777142857,6.117647059,5.75,5.84,6.133333333,8.232632569,7.313665311,6.530309639,6.877725334,7.776976947,6.641791045,6.836488395,6.235217388,7.066702442,5.888157895,6,5.483789094,5.068075725,7.374583829,7.185026718,5.493113061
9,5,4.662857143,5.882352941,6,6.08,6.133333333,8.797150575,7.558796636,6.801929848,7.138494319,8.166628987,7.014925373,6.836488398,6.827674837,7.246794686,5.789473684,5.5,5.335990327,5.103085389,7.707353135,7.497414752,5.560992277
10,4.291666667,4.278386219,5.647058824,6.25,6.32,5.866666667,9.157421949,7.81581723,7.096753795,7.417492765,8.509696294,7.388059701,7.231927348,7.366765526,7.428687852,5.690789474,5.25,5.239784401,5.161038064,8.029038552,7.80989941,5.599776326
11,4.083333333,4.137142857,5.411764706,6.5,6.56,5.6,9.517693323,8.085303743,7.416763707,7.715995022,8.811748298,7.76119403,7.627366298,7.857296572,7.612399946,5.592105263,5.25,5.17263433,5.256969079,8.340009263,8.122480723,5.6219363
12,4,4.068571429,5.176470588,6.75,6.8,5.333333333,9.877964696,8.367860789,7.764111148,8.035364545,9.077688567,8.134328358,8.022805249,8.303642077,7.797949165,5.493421053,5,5.123450853,5.415766916,8.640622154,8.435158719,5.634597815
13,4,4,4.941176471,7,7.04,5.066666667,10.41837176,8.664122313,8.141131487,8.377060083,9.311834432,8.507462687,8.418244199,8.709782141,7.985353875,5.394736842,5,5.086141221,5.678630321,8.931222222,8.747933428,5.641832206
14,4,4,4.705882353,7.25,7.28,4.8,10.95877882,8.974753001,8.550359593,8.742642368,9.517987058,8.880597015,8.813683149,9.079338348,8.174632636,5.296052632,5,5.057079189,6.113756964,9.212142971,9.060804881,5.645965706
15,4,4,4.470588235,7.5,7.52,4.533333333,11.49918588,9.300449786,8.994546885,9.13378126,9.699493168,9.253731343,9.209122099,9.415606059,8.365804179,5.197368421,5,5.03397105,6.834036743,9.483706814,9.373773107,5.648327447
16,4,4,4.235294118,7.75,7.76,4.266666667,12.03959294,9.641943395,9.476679825,9.552263314,9.859299374,9.626865672,9.60456105,9.721583801,8.558887444,5.098684211,5,5.015294677,8.026340107,9.746225395,9.686838137,5.649676889
17,4,4,4,8,8,4,12.58,10,10,10,10,10,10,10,8.753901534,5,5,5,10,10,10,5.650447909
